disease_name,question,answer,source_url
Abortion,Which health care workers can provide medical abortion services?,"Abortions are safe when they are carried out with a method that is recommended by WHO and that is appropriate to the pregnancy duration, and when the person carrying out the abortion has the necessary skills. In addition to non-specialist and specialist doctors, a wide range of health worker cadres – such as auxiliary nurses, auxiliary nurse midwives, nurses, midwives, associate/ advanced associate clinicians, pharmacists and doctors of complementary
    medicine – can provide various aspects of medical abortion services.
Abortions are safe when they are carried out with a method that is recommended by WHO and that is appropriate to the pregnancy duration, and when the person carrying out the abortion has the necessary skills.
In addition to non-specialist and specialist doctors, a wide range of health worker cadres – such as auxiliary nurses, auxiliary nurse midwives, nurses, midwives, associate/ advanced associate clinicians, pharmacists and doctors of complementary
    medicine – can provide various aspects of medical abortion services.",https://www.who.int/news-room/questions-and-answers/item/abortion-safety
Abortion,Can medical abortion be self-managed by the client herself?,"When using the combination mifepristone and misoprostol regimen, the medical abortion process can be self-managed for pregnancies up to 12 weeks of gestation, including the ability to take the medications at home, without direct supervision of a health-care
    provider.
When using the combination mifepristone and misoprostol regimen, the medical abortion process can be self-managed for pregnancies up to 12 weeks of gestation, including the ability to take the medications at home, without direct supervision of a health-care
    provider.",https://www.who.int/news-room/questions-and-answers/item/abortion-safety
Abortion,Is an ultrasound routinely required for the provision of abortion?,"Ultrasound scanning is not routinely required for the provision of abortion. A physical examination to assess uterine size, determine the last menstrual period and identify symptoms of pregnancy are usually adequate.
Ultrasound scanning is not routinely required for the provision of abortion. A physical examination to assess uterine size, determine the last menstrual period and identify symptoms of pregnancy are usually adequate.",https://www.who.int/news-room/questions-and-answers/item/abortion-safety
Abortion,Can unsafe abortions be prevented?,"Unsafe abortions can be prevented through: Comprehensive sexuality education Prevention of unintended pregnancy through use of effective contraception, including emergency contraception Provision of legal safe abortion. A safe abortion is an abortion carried out with a method that is recommended by WHO and that is appropriate to the pregnancy duration; and for which the person carrying out the abortion has the necessary skills.
Unsafe abortions can be prevented through:",https://www.who.int/news-room/questions-and-answers/item/abortion-safety
Antimicrobial resistance,"How does the use of antibiotics in food-producing animals lead to antimicrobial resistance in humans?
﻿","The high volume of antibiotics in food-producing animals contributes to the development of antimicrobial-resistant bacteria, particularly in settings of intensive animal production. In some countries, the total amount of antibiotics used in animals is 4 times larger than the amount used in humans. In many countries much of the antibiotics used in animals are for growth promotion and prevention of disease, not to treat sick animals. These bacteria can be transmitted from animals to humans via direct contact between animals and humans, or through the food chain and the environment. Antimicrobial-resistant infections in humans can cause longer illnesses, increased frequency of hospitalization, and treatment failures that can result in death. Some types of bacteria that cause serious infections in humans have already developed resistance to most or all of the available treatments and we are running out of treatment options for some types of infection. WHO recommends an overall reduction in use of antibiotics in food-producing animals to help preserve their effectiveness for human medicine.
The high volume of antibiotics in food-producing animals contributes to the development of antimicrobial-resistant bacteria, particularly in settings of intensive animal production. In some countries, the total amount of antibiotics used in animals is 4 times larger than the amount used in humans. In many countries much of the antibiotics used in animals are for growth promotion and prevention of disease, not to treat sick animals.
These bacteria can be transmitted from animals to humans via direct contact between animals and humans, or through the food chain and the environment. Antimicrobial-resistant infections in humans can cause longer illnesses, increased frequency of hospitalization, and treatment failures that can result in death. Some types of bacteria that cause serious infections in humans have already developed resistance to most or all of the available treatments and we are running out of treatment options for some types of infection. WHO recommends an overall reduction in use of antibiotics in food-producing animals to help preserve their effectiveness for human medicine.",https://www.who.int/news-room/questions-and-answers/item/antimicrobial-resistance-in-the-food-chain
Antimicrobial resistance,Why is antimicrobial resistance important for food safety?,"Many of the bacteria (such as Salmonella, Campylobacter and Escherichia coli) carried by animals can also cause disease in people. These bacteria, which are frequently antimicrobial-resistant, can contaminate our food supply from farm to fork, such as through slaughtering and processing. Fruits and vegetables may also be contaminated by such bacteria at the farm or later through cross-contamination. We know about this because we can link drug-resistant bacteria isolated from sick people to an agricultural source through DNA fingerprinting. Over 400 000 people die each year from foodborne diseases, with over one-third of these deaths occurring in children under 5 years of age. The vast majority of foodborne illnesses are caused by microbes, including bacteria, according to WHO estimates . If these bacteria become resistant to antibiotics, it will become impossible to treat them and more people will die from foodborne diseases.
Many of the bacteria (such as Salmonella, Campylobacter and Escherichia coli) carried by animals can also cause disease in people. These bacteria, which are frequently antimicrobial-resistant, can contaminate our food supply from farm to fork, such as through slaughtering and processing. Fruits and vegetables may also be contaminated by such bacteria at the farm or later through cross-contamination. We know about this because we can link drug-resistant bacteria isolated from sick people to an agricultural source through DNA fingerprinting.
Over 400 000 people die each year from foodborne diseases, with over one-third of these deaths occurring in children under 5 years of age. The vast majority of foodborne illnesses are caused by microbes, including bacteria, according to WHO estimates . If these bacteria become resistant to antibiotics, it will become impossible to treat them and more people will die from foodborne diseases.",https://www.who.int/news-room/questions-and-answers/item/antimicrobial-resistance-in-the-food-chain
Antimicrobial resistance,Do the Guidelines call for a total ban of the preventive use of antibiotics in animals?,"Recommendation No.3 of the new guidelines says that antibiotics should not be used as a preventive tool in the absence of disease in animals. The use of antimicrobials for disease prevention may be justified when a veterinary professional judges that there is a high risk of spread of a particular infectious disease, if such a judgement is made on the basis of recent culture and sensitivity testing results. The antimicrobials used should start with those of least importance for human health, i.e. start with classes not used in humans, and then as listed on the WHO List of critically important antimicrobials for human medicine (important and then highly important). Antimicrobials classified by WHO as critically important for human medicine should be used in animals only when the most recent culture and sensitivity results of bacteria known to have caused the disease indicate that the critically important antimicrobial is the only option. The WHO guidelines address the use of antibiotics used in human medicine. Antibiotics that are used only in animals are outside the scope of the guidelines. All possible means, such as improved hygiene and vaccination, should be taken to reduce the risks of food producing animals contracting infections and therefore reduce the need for antibiotics.
Recommendation No.3 of the new guidelines says that antibiotics should not be used as a preventive tool in the absence of disease in animals. The use of antimicrobials for disease prevention may be justified when a veterinary professional judges that there is a high risk of spread of a particular infectious disease, if such a judgement is made on the basis of recent culture and sensitivity testing results.
The antimicrobials used should start with those of least importance for human health, i.e. start with classes not used in humans, and then as listed on the WHO List of critically important antimicrobials for human medicine (important and then highly important). Antimicrobials classified by WHO as critically important for human medicine should be used in animals only when the most recent culture and sensitivity results of bacteria known to have caused the disease indicate that the critically important antimicrobial is the only option.
The WHO guidelines address the use of antibiotics used in human medicine. Antibiotics that are used only in animals are outside the scope of the guidelines. All possible means, such as improved hygiene and vaccination, should be taken to reduce the risks of food producing animals contracting infections and therefore reduce the need for antibiotics.",https://www.who.int/news-room/questions-and-answers/item/antimicrobial-resistance-in-the-food-chain
Autism,What is autism?,"Autism – also referred to as autism spectrum disorder – constitutes a diverse group of conditions related to development of the brain. Characteristics may be detected in early childhood, but autism is often not diagnosed until much later. Autism is characterised by some degree of difficulty with social interaction and communication. Other characteristics are atypical patterns of activities and behaviours, such as difficulty with transition from one activity to another, a focus on details and unusual reactions to sensations. The abilities and needs of autistic people vary and can evolve over time. While some people with autism can live independently, others require life-long care and support. Autism often has an impact on education and employment opportunities. In addition, the demands on families providing care and support can be significant. Societal attitudes and the level of support and services provided by local and national authorities are important factors determining the quality of life of people with autism.
Autism – also referred to as autism spectrum disorder – constitutes a diverse group of conditions related to development of the brain. Characteristics may be detected in early childhood, but autism is often not diagnosed until much later.
Autism is characterised by some degree of difficulty with social interaction and communication. Other characteristics are atypical patterns of activities and behaviours, such as difficulty with transition from one activity to another, a focus on details and unusual reactions to sensations.
The abilities and needs of autistic people vary and can evolve over time. While some people with autism can live independently, others require life-long care and support. Autism often has an impact on education and employment opportunities. In addition, the demands on families providing care and support can be significant. Societal attitudes and the level of support and services provided by local and national authorities are important factors determining the quality of life of people with autism.",https://www.who.int/news-room/questions-and-answers/item/autism-spectrum-disorders-(asd)
Autism,How common is autism?,"Reviews estimate that 1 child in 100 is autistic. This estimate represents an average figure, and reported prevalence varies substantially across studies.
Reviews estimate that 1 child in 100 is autistic. This estimate represents an average figure, and reported prevalence varies substantially across studies.
Reviews estimate that 1 child in 100 is autistic. This estimate represents an average figure, and reported prevalence varies substantially across studies.",https://www.who.int/news-room/questions-and-answers/item/autism-spectrum-disorders-(asd)
Autism,Do autistic people always suffer from intellectual disability?,"The level of intellectual functioning is extremely variable among people with autism and can range from profound impairment to high-functioning. It is estimated that around 50% of autistic people have an intellectual disability.
The level of intellectual functioning is extremely variable among people with autism and can range from profound impairment to high-functioning. It is estimated that around 50% of autistic people have an intellectual disability.
The level of intellectual functioning is extremely variable among people with autism and can range from profound impairment to high-functioning. It is estimated that around 50% of autistic people have an intellectual disability.",https://www.who.int/news-room/questions-and-answers/item/autism-spectrum-disorders-(asd)
Autism,How early can autism be recognized in children?,"Identifying autism is difficult before the age of about 12 months but diagnosis is generally possible by the age of 2 years. Characteristic features of onset include delay in the development of, or regression in, language and social skills and repetitive patterns of behaviour.
Identifying autism is difficult before the age of about 12 months but diagnosis is generally possible by the age of 2 years. Characteristic features of onset include delay in the development of, or regression in, language and social skills and repetitive patterns of behaviour.
Identifying autism is difficult before the age of about 12 months but diagnosis is generally possible by the age of 2 years. Characteristic features of onset include delay in the development of, or regression in, language and social skills and repetitive patterns of behaviour.",https://www.who.int/news-room/questions-and-answers/item/autism-spectrum-disorders-(asd)
Autism,"What can parents and other caregivers do to help an autistic child enjoy opportunities to grow, learn and access care?","Parents and other caregivers have an essential role in providing support to an autistic child. They can help to ensure access to health, education and other services and opportunities available to all other children in their communities and can offer a nurturing and stimulating environment as the child grows up. It is important that health-care workers are provided with training on autism spectrum disorders so that they are able to recognize and value neurodiversity and support people with autism and their caregivers in the most appropriate and effective way. Recognizing the preferences and needs of individuals is important, as is promoting informed decision-making and autonomy. Collaboration between the health sector and other sectors, particularly education, employment and social care, is equally important.
Parents and other caregivers have an essential role in providing support to an autistic child. They can help to ensure access to health, education and other services and opportunities available to all other children in their communities and can offer a nurturing and stimulating environment as the child grows up. It is important that health-care workers are provided with training on autism spectrum disorders so that they are able to recognize and value neurodiversity and support people with autism and their caregivers in the most appropriate and effective way. Recognizing the preferences and needs of individuals is important, as is promoting informed decision-making and autonomy. Collaboration between the health sector and other sectors, particularly education, employment and social care, is equally important.
Parents and other caregivers have an essential role in providing support to an autistic child. They can help to ensure access to health, education and other services and opportunities available to all other children in their communities and can offer a nurturing and stimulating environment as the child grows up.
It is important that health-care workers are provided with training on autism spectrum disorders so that they are able to recognize and value neurodiversity and support people with autism and their caregivers in the most appropriate and effective way. Recognizing the preferences and needs of individuals is important, as is promoting informed decision-making and autonomy. Collaboration between the health sector and other sectors, particularly education, employment and social care, is equally important.",https://www.who.int/news-room/questions-and-answers/item/autism-spectrum-disorders-(asd)
Autism,What causes autism?,"Scientific evidence suggests that various factors, both genetic and environmental, contribute to the onset of autism by influencing early brain development.
Scientific evidence suggests that various factors, both genetic and environmental, contribute to the onset of autism by influencing early brain development.
Scientific evidence suggests that various factors, both genetic and environmental, contribute to the onset of autism by influencing early brain development.",https://www.who.int/news-room/questions-and-answers/item/autism-spectrum-disorders-(asd)
